nohup: ignoring input
Running on hadoop, using /home/zheyi/sarahadoop/hadoop-0.20/bin/hadoop and HADOOP_CONF_DIR=
MAHOUT-JOB: /home/zheyi/mahout-distribution-0.7/mahout-examples-0.7-job.jar
13/05/21 20:00:25 INFO common.AbstractJob: Command line arguments: {--encoding=[UTF-8], --endPhase=[2147483647], --input=[/user/s117449/synthetic/d_100m_20_1k_10k_4.data], --maxHeapSize=[50], --method=[mapreduce], --minSupport=[6000000], --numGroups=[1000], --numTreeCacheEntries=[5], --output=[output/fpg-synthetic-support6000000], --splitterPattern=[[\ ]], --startPhase=[0], --tempDir=[temp]}
13/05/21 20:00:26 INFO common.HadoopUtil: Deleting output/fpg-synthetic-support6000000
13/05/21 20:00:26 WARN mapred.JobClient: Use GenericOptionsParser for parsing the arguments. Applications should implement Tool for the same.
13/05/21 20:00:30 INFO hdfs.DFSClient: Created HDFS_DELEGATION_TOKEN token 182992 for s117449
13/05/21 20:00:30 INFO security.TokenCache: Got dt for hdfs://p-head03.alley.sara.nl:8020/tmp/hadoop-mapred/mapred/staging/s117449/.staging/job_201305151711_3501;uri=145.100.41.4:8020;t.service=145.100.41.4:8020
13/05/21 20:00:30 INFO input.FileInputFormat: Total input paths to process : 1
13/05/21 20:00:30 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
13/05/21 20:00:30 WARN snappy.LoadSnappy: Snappy native library not loaded
13/05/21 20:00:30 INFO mapred.JobClient: Running job: job_201305151711_3501
13/05/21 20:00:31 INFO mapred.JobClient:  map 0% reduce 0%
13/05/21 20:01:05 INFO mapred.JobClient:  map 1% reduce 0%
13/05/21 20:01:11 INFO mapred.JobClient:  map 2% reduce 0%
13/05/21 20:01:14 INFO mapred.JobClient:  map 3% reduce 0%
13/05/21 20:01:17 INFO mapred.JobClient:  map 4% reduce 0%
13/05/21 20:01:20 INFO mapred.JobClient:  map 5% reduce 0%
13/05/21 20:01:22 INFO mapred.JobClient:  map 6% reduce 0%
13/05/21 20:01:24 INFO mapred.JobClient:  map 7% reduce 0%
13/05/21 20:01:26 INFO mapred.JobClient:  map 8% reduce 0%
13/05/21 20:01:28 INFO mapred.JobClient:  map 9% reduce 0%
13/05/21 20:01:30 INFO mapred.JobClient:  map 10% reduce 0%
13/05/21 20:01:32 INFO mapred.JobClient:  map 11% reduce 0%
13/05/21 20:01:34 INFO mapred.JobClient:  map 12% reduce 0%
13/05/21 20:01:37 INFO mapred.JobClient:  map 13% reduce 0%
13/05/21 20:01:38 INFO mapred.JobClient:  map 14% reduce 0%
13/05/21 20:01:40 INFO mapred.JobClient:  map 15% reduce 0%
13/05/21 20:01:42 INFO mapred.JobClient:  map 16% reduce 0%
13/05/21 20:01:43 INFO mapred.JobClient:  map 17% reduce 0%
13/05/21 20:01:45 INFO mapred.JobClient:  map 18% reduce 0%
13/05/21 20:01:46 INFO mapred.JobClient:  map 19% reduce 0%
13/05/21 20:01:48 INFO mapred.JobClient:  map 20% reduce 0%
13/05/21 20:01:49 INFO mapred.JobClient:  map 21% reduce 0%
13/05/21 20:01:51 INFO mapred.JobClient:  map 22% reduce 0%
13/05/21 20:01:52 INFO mapred.JobClient:  map 23% reduce 0%
13/05/21 20:01:53 INFO mapred.JobClient:  map 24% reduce 0%
13/05/21 20:01:55 INFO mapred.JobClient:  map 25% reduce 0%
13/05/21 20:01:56 INFO mapred.JobClient:  map 26% reduce 0%
13/05/21 20:01:58 INFO mapred.JobClient:  map 27% reduce 0%
13/05/21 20:02:00 INFO mapred.JobClient:  map 28% reduce 0%
13/05/21 20:02:01 INFO mapred.JobClient:  map 29% reduce 0%
13/05/21 20:02:03 INFO mapred.JobClient:  map 30% reduce 0%
13/05/21 20:02:04 INFO mapred.JobClient:  map 31% reduce 0%
13/05/21 20:02:06 INFO mapred.JobClient:  map 32% reduce 0%
13/05/21 20:02:07 INFO mapred.JobClient:  map 33% reduce 0%
13/05/21 20:02:09 INFO mapred.JobClient:  map 34% reduce 0%
13/05/21 20:02:11 INFO mapred.JobClient:  map 35% reduce 0%
13/05/21 20:02:12 INFO mapred.JobClient:  map 36% reduce 0%
13/05/21 20:02:14 INFO mapred.JobClient:  map 37% reduce 0%
